Harga,Lokasi,LT,LB,Kamar,Kamar Mandi,Carport
"Rp 1,55 Miliar","Harapan Indah, Bekasi",176 m²,107 m²,3,2,1
"Rp 1,25 Miliar","Harapan Indah, Bekasi",114 m²,69 m²,3,2,1
"Rp 1,1 Miliar","Jati Asih, Bekasi",104 m²,128 m²,3,2,1
"Rp 1,2 Miliar","Harapan Indah, Bekasi",75 m²,57 m²,3,2,1
"Rp 3,9 Miliar","Summarecon Bekasi, Bekasi",240 m²,180 m²,3,3,2
Rp 740 Juta,"Jati Asih, Bekasi",96 m²,60 m²,4,2,
"Rp 1,1 Miliar","Jati Asih, Bekasi",95 m²,90 m²,4,2,2
"Rp 1,42 Miliar","Grand Wisata, Bekasi",192 m²,130 m²,3,4,2
"Rp 1,3 Miliar","Jatibening, Bekasi",60 m²,54 m²,2,2,1
"Rp 2,4 Miliar","Summarecon Bekasi, Bekasi",140 m²,97 m²,4,3,2
"Rp 2,17 Miliar","Summarecon Bekasi, Bekasi",125 m²,95 m²,4,3,2
"Rp 1,65 Miliar","Summarecon Bekasi, Bekasi",88 m²,76 m²,4,2,2
"Rp 1,6 Miliar","Summarecon Bekasi, Bekasi",91 m²,65 m²,2,2,1
Rp 999 Juta,"Galaxy, Bekasi",89 m²,65 m²,3,2,2
Rp 873 Juta,"Pondok Gede, Bekasi",79 m²,65 m²,3,2,2
Rp 800 Juta,"Bekasi Timur, Bekasi",60 m²,31 m²,2,1,1
"Rp 1,9 Miliar","Jatibening, Bekasi",91 m²,98 m²,3,2,1
Rp 350 Juta,"Grand Wisata, Bekasi",60 m²,45 m²,2,1,
Rp 550 Juta,"Summarecon Bekasi, Bekasi",60 m²,45 m²,2,1,
Rp 390 Juta,"Bekasi Utara, Bekasi",60 m²,40 m²,2,1,
Rp 780 Juta,"Grand Wisata, Bekasi",66 m²,42 m²,2,1,
Rp 470 Juta,"Grand Wisata, Bekasi",66 m²,45 m²,3,1,
Rp 550 Juta,"Jati Asih, Bekasi",73 m²,43 m²,2,1,
Rp 610 Juta,"Bekasi Utara, Bekasi",61 m²,45 m²,2,1,
Rp 650 Juta,"Bekasi Utara, Bekasi",66 m²,50 m²,2,1,
"Rp 1,05 Miliar","Jatibening, Bekasi",99 m²,70 m²,2,1,
"Rp 1,72 Miliar","Jatibening, Bekasi",130 m²,120 m²,4,3,
Rp 940 Juta,"Galaxy, Bekasi",60 m²,120 m²,3,3,
"Rp 1,39 Miliar","Galaxy, Bekasi",126 m²,150 m²,3,2,
"Rp 1,39 Miliar","Harapan Indah, Bekasi",81 m²,120 m²,3,2,
